,SART -  Go mistakes (%),SART -  No Go mistakes (%),ASQ score:
5,3.0,76.0,10.0
6,0.0,72.0,3.0
12,0.0,28.0,3.0
14,1.0,76.0,1.0
16,3.0,90.0,1.0
22,6.67,6.67,1.0
23,2.0,48.0,6.0
26,1.0,28.0,2.0
31,0.0,8.0,2.0
35,0.0,18.0,2.0
37,8.0,72.0,8.0
38,3.0,76.0,4.0
40,2.0,72.0,5.0
41,1.0,32.0,1.0
43,0.0,16.0,2.0
61,1.0,16.0,5.0
63,1.0,52.0,2.0
64,0.0,0.0,2.0
65,1.0,60.0,2.0
71,3.0,84.0,5.0
73,0.0,72.0,2.0
75,25.0,60.0,2.0
77,0.0,36.0,1.0
80,1.0,32.0,5.0
